Type,Name,Language/Software,Packages,Tags,Author,Created,Status,Score/5,URL,Source,Minutes,Finish Date,Start Date,Hours,Notes?,Linked Up?,Related to Coding Course Notes (Property)
,Learning Data Science In 2022- Step By Step Plan - 13.4 mins,,,,,"January 13, 2022 4:50 PM",,,https://www.youtube.com/watch?v=C9eZclkoWSs,,,,,0,No,No,
,Exploratory Data Analysis in Python using pandas - 28.85 mins,,,,,"January 13, 2022 9:14 AM",,,https://www.youtube.com/watch?v=9m4n2xVzk9o,,,,,0,No,No,
Video,Exploratory Data Analysis With Excel - Part 2 - Basic Categoricals - (17.3 mins),Excel,,"#66DaysofData, Exploratory Data Analysis, Round1",David Langer,"January 12, 2022 7:56 PM",Finished,⭐️⭐️⭐️⭐️,https://www.youtube.com/watch?v=cHk81hqBv_I&list=PLTJTBoU5HOCRFQhfU1gg2ciNpS_evWKR7&index=2,YouTube,17.3,"January 12, 2022","January 12, 2022",0.288333333333,No,No,
Video,Exploratory Data Analysis With Excel - Part 1 - Basic Numerics - (24 mins David Langer),Excel,,"#66DaysofData, Exploratory Data Analysis, Round1",David Langer,"January 12, 2022 7:12 PM",Finished,,https://www.youtube.com/watch?v=1zEFJHbG0aE&list=PLTJTBoU5HOCRFQhfU1gg2ciNpS_evWKR7&index=2,YouTube,24,"January 12, 2022","January 12, 2022",0.4,No,No,
Video,6 Certifications In Data Science But No Jobs- Sharing A True Story-Focus More On Data Science Jobs - (8.65 mins),,,"#66DaysofData, Career, Round1",Krish Naik,"January 12, 2022 6:57 PM",Finished,,https://www.youtube.com/watch?v=Q6GfF8fB7E4,,8.65,"January 12, 2022","January 12, 2022",0.144166666667,No,No,
,Data Analyst Certifications | Are They Worth It? | Alex The Analyst Show | Episode 7 - (33.2 mins),,,,,"January 11, 2022 4:09 PM",,,https://www.youtube.com/watch?v=aJ9Q10v8Nrc,,,,,0,No,No,
Podcast,‎Ken's Nearest Neighbors: Why He's Completed over 25 Online Certificates (Jack Raifer Baruch) - KNN Ep. 77 on Apple Podcasts (69.8 mins),,,"#66DaysofData, Round1",Ken Jee,"January 11, 2022 3:03 PM",Started,,https://podcasts.apple.com/us/podcast/kens-nearest-neighbors/id1538368692?i=1000544313412,Apple Podcasts,69.8,,"January 11, 2022",1.163333333333,No,No,
Video,How To Become A Data Analyst In 2022 - YouTube (13 mins),,,"#66DaysofData, Career, Learning and Roadmaps, Round1",Alex the Analyst,"January 11, 2022 1:59 PM",Finished,,https://www.youtube.com/watch?v=yDG5KiiOZcQ,YouTube,13,"January 12, 2022","January 12, 2022",0.216666666667,No,No,
Video,How to Become a Data Analyst (Updated for 2022) - YouTube (51 mins),,,"#66DaysofData, Career, Learning and Roadmaps, Round1",Shashank Kalanithi,"January 11, 2022 1:44 PM",Finished,⭐️⭐️⭐️⭐️,https://www.youtube.com/watch?v=-AbAm4t4FYQ,YouTube,51,"January 11, 2022","January 11, 2022",0.85,No,No,
Video,"Build an Exploratory Data Analysis Project from Scratch with Python, Numpy, and Pandas - Jovian 140.2 mins",Python,"numpy, pandas, seaborn","#66DaysofData, Exploratory Data Analysis, Round1",Jovian,"January 2, 2022 7:29 PM",Finished,,https://www.youtube.com/watch?v=kLDTbavcmd0&t=54s,YouTube,140.2,"January 3, 2022","January 2, 2022",2.336666666667,Yes,No,
Video,How to Lie with Histograms (Linear vs Logarithmic) - RossiData 3.1 mins,,,"#66DaysofData, Log Scales, Round1",Rossi Data,"January 2, 2022 7:19 PM",Finished,,https://www.youtube.com/watch?v=m2lPYvrPlrY,YouTube,3.1,"January 2, 2022","January 2, 2022",0.051666666667,No,No,
Video,LogTransformations.1.Why Log Transformations for Parametric - 10.2 mins,,,"#66DaysofData, Log Scales, Round1",Quantitative Analysis Institute,"January 2, 2022 7:16 PM",Finished,,https://www.youtube.com/watch?v=LCDiQxB5S84,YouTube,10.2,"January 2, 2022","January 2, 2022",0.17,No,No,
Video,How to read a log scale. (8.5 mins),,,"#66DaysofData, Log Scales, Round1",GeoTech Videos,"January 2, 2022 7:02 PM",Finished,,https://www.youtube.com/watch?v=8jR-_Om4myk,YouTube,8.5,"January 2, 2022","January 2, 2022",0.141666666667,No,No,
Video,When To Use Logarithmic Scale - 3.8 mins,,,"#66DaysofData, Data Visualization, Log Scales, Round1",Investor's Business Daily,"January 2, 2022 10:38 AM",Finished,,https://www.youtube.com/watch?v=Nn3CkaW4YlY,YouTube,3.8,"January 2, 2022","January 2, 2022",0.063333333333,No,No,
Video,When you should use Logarithmic scales in your visuals - 6.05 mins,,,"#66DaysofData, Data Visualization, Log Scales, Round1",Curbal Data Labs,"January 2, 2022 10:25 AM",Finished,,https://www.youtube.com/watch?v=dE1ShS_r_ms,YouTube,6.05,"January 2, 2022","January 2, 2022",0.100833333333,No,No,
Image,Best Websites for Data Science,,,Learning and Roadmaps,,"January 2, 2022 9:57 AM",,,https://twitter.com/cloudpreacher/status/1477610290497957888?s=12,,,,,0,No,No,
Article,Google Data Analytics Capstone Project,"Excel, R, SQL",,"#66DaysofData, DS Projects, Round1",Kelly J. Adams,"January 2, 2022 12:49 AM",Started,,https://www.kellyjadams.com/post/google-capstone-project,,25,,"January 1, 2022",0.416666666667,No,No,
Video,How To Become Expertise in Exploratory Data Analysis - 10.1 mins,Python,"matplotlib, pandas, seaborn","#66DaysofData, Exploratory Data Analysis, Round1",Krish Naik,"January 1, 2022 11:32 PM",Finished,⭐️⭐️⭐️,https://www.youtube.com/watch?v=dP170R-wO-8,YouTube,10.1,"January 1, 2022","January 1, 2022",0.168333333333,No,No,
,101 Best Places to Learn to Code For Free | Learn to Code With Me | Coding for Beginners,,,,,"January 1, 2022 10:52 PM",,,https://learntocodewith.me/posts/code-for-free/,,,,,0,No,No,
Video,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis) - 68.6 mins,Python,"matplotlib, pandas, seaborn","#66DaysofData, DS Projects, Exploratory Data Analysis, Round1",Ken Jee,"January 1, 2022 9:28 PM",Finished,⭐️⭐️⭐️⭐️,https://www.youtube.com/watch?v=QWgg4w1SpJ8&t=28s,YouTube,68.6,"January 1, 2022","January 1, 2022",1.143333333333,No,No,
Article,I doubled my salary by switching to Tech! | by Lanise Allen | 3 mins,,,"#66DaysofData, Career, Round1",Lanise Allen,"January 1, 2022 5:32 PM",Finished,,https://laniseallen.medium.com/i-doubled-my-salary-by-switching-to-tech-9bedf979a710,Medium,3,"January 1, 2022","January 1, 2022",0.05,No,No,
Video,How I Would Learn Data Science in 2022 (If I Had to Start Over) 12.2 mins,,,"#66DaysofData, Learning and Roadmaps, Round1",Ken Jee,"January 1, 2022 5:04 PM",Finished,,https://www.youtube.com/watch?v=xpIFS6jZbe8,YouTube,12.2,"January 1, 2022","January 1, 2022",0.203333333333,No,No,
Article,A 22-week curriculum to learn Data Analytics in 2022 + FREE Resources | by Aakriti Sharma,,,"#66DaysofData, Learning and Roadmaps, Round1",Aakriti Sharma,"January 1, 2022 10:01 AM",Finished,,https://link.medium.com/zFIJGDfVsmb,Medium,5,"January 1, 2022","January 1, 2022",0.083333333333,No,No,
Video,5 Beginner Data Science Projects to start today! 13.2 mins,Python,,"#66DaysofData, DS Projects, Round1",Tina Hauang,"December 31, 2021 8:52 PM",Finished,,https://www.youtube.com/watch?v=PwE-xuw5sNU,YouTube,13.2,"December 31, 2021","December 31, 2021",0.22,No,No,
Video,Exploratory Data Analysis (comment your best insight on the data) (58.9 mins),Python,pandas,"#66DaysofData, Exploratory Data Analysis, Python, Round1",Shashank Kalanithi,"December 31, 2021 7:17 PM",Finished,⭐️⭐️⭐️⭐️⭐️,https://www.youtube.com/watch?v=E-q24gS8cqg&t=127s,YouTube,58.9,"December 31, 2021","December 31, 2021",0.981666666667,No,No,
Video,Python Functions | Python Tutorial for Absolute Beginners #1 - YouTube (30.5 mins),Python,,"#66DaysofData, Functions, Python, Round1",Programming with Mosh,"December 31, 2021 10:28 AM",Finished,⭐️⭐️⭐️⭐️⭐️,https://www.youtube.com/watch?v=u-OmVr_fT4s,YouTube,30.5,"December 31, 2021","December 31, 2021",0.508333333333,No,No,
,Alex Wang on LinkedIn: #datascience #excel #cheatsheet | (3 mins),,,,,"December 31, 2021 9:30 AM",,,https://www.linkedin.com/posts/mengyaowang11_datascience-excel-cheatsheet-activity-6878292645979017216-iJhC,,,,,0,No,No,
Article,Use Python To Scrape & Visualize Likes On Your LinkedIn Posts (5 mins),Python,Selenium,"#66DaysofData, Data Analysis, Data Science, Exploratory Data Analysis, Python, Round1, Selenium, Web Scraping",Stanislav Lukashevich,"December 31, 2021 9:13 AM",Finished,⭐️⭐️⭐️⭐️⭐️,https://www.linkedin.com/pulse/use-python-scrape-visualize-likes-your-linkedin-posts-lukashevich-,LinkedIn,5,"December 31, 2021","December 31, 2021",0.083333333333,No,No,
,How To Learn Data Science Smartly? - (12.2 mins),,,"#66DaysofData, Learning and Roadmaps, Round1",,"December 30, 2021 6:43 PM",,,https://www.youtube.com/watch?v=csG_qfOTvxw,,,,,0,No,No,
Tweet,Netflix project idea,,,DS Projects,,"December 30, 2021 9:14 AM",,,https://twitter.com/brittanycity/status/1476323586348564492?s=12,,,,,0,No,No,
Tweet,Amazon project idea,,,DS Projects,,"December 30, 2021 9:14 AM",,,https://twitter.com/brittanycity/status/1476321778783895558?s=12,,,,,0,No,No,
Tweet,LinkedIn project idea,,,DS Projects,,"December 30, 2021 9:13 AM",,,https://twitter.com/brittanycity/status/1476319802780225537?s=12,,,,,0,No,No,
,"Become a Data Scientist in 2022: A Practical 52-Week Course | by Frank Andrade | Dec, 2021 | Towards Data Science",,,,,"December 29, 2021 5:24 PM",,,https://towardsdatascience.com/become-a-data-scientist-in-2022-a-practical-52-week-course-8244cc18284e,,,,,0,No,No,
Video,Pivot Tables in Excel | Excel Tutorials for Beginners - (17.5 mins),Excel,,"#66DaysofData, Excel, Pivot Tables, Round1",Alex the Analyst,"December 29, 2021 4:48 PM",Finished,,https://www.youtube.com/watch?v=lH7HfwUFnYA&list=PLUaB-1hjhk8Hyd5NiPQ9CND82vNodlFF5&index=1,YouTube,17.5,"December 29, 2021","December 29, 2021",0.291666666667,No,No,
,Data Analyst Portfolio Project | Tableau Visualization | Project 2/4 (52.2 mins),,,,,"December 29, 2021 4:47 PM",,,https://www.youtube.com/watch?v=QILNlRvJlfQ&list=PLUaB-1hjhk8H48Pj32z4GZgGWyylqv85f&index=2,,,,,0,No,No,
Video,"Overview, Review and Study Tips - Google Data Analytics Professional Certificate (condensed version) - (33.3 mins)",,,"#66DaysofData, Data Science, Round1",Tina Hauang,"December 29, 2021 3:51 PM",Finished,,https://www.youtube.com/watch?v=cvTpocrPNlo,YouTube,33.3,"December 29, 2021","December 29, 2021",0.555,No,No,
Video,How to learn data science in 2021 (the minimize effort maximize outcome way) (12.25 mins),,,"#66DaysofData, Data Science, Round1",Tina Hauang,"December 29, 2021 3:27 PM",Finished,,https://www.youtube.com/watch?v=Axu4tJl8gbM&t=0s,YouTube,12.25,"December 29, 2021","December 29, 2021",0.204166666667,No,No,
Video,The Art of Learning Data Science (How to learn data science in 2021) - (32.9 mins),,,"#66DaysofData, Data Science, Round1",Data Professor,"December 29, 2021 1:00 PM",Finished,⭐️⭐️⭐️⭐️⭐️,https://www.youtube.com/watch?v=oR670Txwh88&t=483s,YouTube,32.9,"December 29, 2021","December 29, 2021",0.548333333333,Yes,No,
Article,"Creative Ways to Brand Yourself as A Data Analyst | by Jahmar Gale | Dec, 2021 | Medium",,,"#66DaysofData, Round1",Jahmar Gale,"December 28, 2021 4:57 PM",,,https://medium.com/@jahmargale/creative-ways-to-brand-yourself-as-a-data-analyst-7c24d0ab3d6f,,,,,0,No,No,
Article,"How Data Analytics Can Benefit Your Business | by shanicextech | Dec, 2021 | Medium",,,"#66DaysofData, Round1",Shanice x Tech,"December 28, 2021 4:56 PM",,,https://medium.com/@shanicextech/how-data-analytics-can-benefit-your-business-8f70b03695ef,,,,,0,No,No,
Article,"Shanice’s Synopsis of “What Is Data Analytics? A Guide to Data Insights” | by shanicextech | Dec, 2021 | Medium",,,"#66DaysofData, Data Analysis, Round1",Shanice x Tech,"December 28, 2021 4:56 PM",Finished,,https://medium.com/@shanicextech/shanices-synopsis-of-what-is-data-analytics-a-guide-to-data-insights-d11ce097fffe,Medium,5,"December 28, 2021","December 28, 2021",0.083333333333,No,No,
Video,"Data Analyst Setup for Productivity (Python, R, SQL) (34.6)",Python,,Data Science,Shashank Kalanithi,"December 28, 2021 4:19 PM",Finished,⭐️⭐️⭐️⭐️⭐️,https://www.youtube.com/watch?v=LwazHUkU5IQ,YouTube,34.6,"December 20, 2021","December 20, 2021",0.576666666667,No,No,
Video,Exploratory Data Analysis (comment your best insight on the data) (58.9 mins),Python,pandas,"#66DaysofData, Exploratory Data Analysis, Python, Round1",Shashank Kalanithi,"December 28, 2021 4:05 PM",Finished,⭐️⭐️⭐️⭐️⭐️,https://www.youtube.com/watch?v=E-q24gS8cqg&t=127s,YouTube,58.9,"December 20, 2021","December 20, 2021",0.981666666667,No,No,
,Effective Data Storytelling: How to Turn Insights into Action | DataCamp (70 mins),,,Data Storytelling,,"December 28, 2021 3:39 PM",Not Started,,https://www.datacamp.com/resources/webinars/effective-data-storytelling-brent-dykes-1,,,,,0,No,No,
Podcast,‎DataFramed: #69 Effective Data Storytelling: How to Turn Insights into Action on Apple Podcasts,,,"#66DaysofData, Data Storytelling, Round1",,"December 28, 2021 3:13 PM",Finished,,https://podcasts.apple.com/us/podcast/dataframed/id1336150688?i=1000532784136,,52,,,0.866666666667,Yes,No,
Course,Intro to Data Visualization in Matplotlib,Python,matplotlib,"#66DaysofData, Data Analysis, Data Science, Data Visualization, Python, Round1, matplotlib",,"December 28, 2021 12:42 PM",Finished,⭐️⭐️⭐️⭐️,,DataCamp,240,"January 12, 2022","December 28, 2021",4,Yes,No,
Course,Joining Data with pandas,Python,pandas,"#66DaysofData, Pandas, Python, Round1",,"December 22, 2021 8:55 PM",Finished,⭐️⭐️⭐️⭐️⭐️,,DataCamp,240,"December 28, 2021","December 17, 2021",4,Yes,No,
,"Become a Data Scientist in 2022: A Practical 52-Week Course | by Frank Andrade | Dec, 2021 | Towards Data Science",,,,,"December 21, 2021 7:14 PM",,,https://towardsdatascience.com/become-a-data-scientist-in-2022-a-practical-52-week-course-8244cc18284e,,,,,0,No,No,
,Regularization (mathematics) - Wikipedia,,,,,"December 21, 2021 5:58 PM",,,https://en.wikipedia.org/wiki/Regularization_(mathematics),,,,,0,No,No,
,5 Data Science Libaries for Python Every Data Scientist Should Use,,,Python,,"December 21, 2021 5:58 PM",,,https://www.makeuseof.com/data-science-libraries-for-python/,,,,,0,No,No,
Article,How to pass the Facebook Data Science interview - Towards Data Science,,,"Data Science, Interviews",,"December 21, 2021 5:58 PM",Finished,⭐️⭐️⭐️⭐️⭐️,https://towardsdatascience.com/how-to-pass-the-facebook-data-science-interview-3f2615c17012,Medium,,,,0,No,No,
,Find Free Public Data Sets for Your Data Science Project | Springboard Blog,,,Datasets,,"December 21, 2021 5:58 PM",,,https://www.springboard.com/blog/free-public-data-sets-data-science-project/,,,,,0,No,No,
Article,"David Langer, LinkedIn",,,"Data Science, Excel, R Programmaing Language, SQL",,"December 21, 2021 5:58 PM",,,https://www.linkedin.com/feed/update/urn:li:activity:6717796957479407617/,,,,,0,No,No,
Article,www.r2d3.us/visual-intro-to-machine-learning-part-2/,,,"Data Science, Machine Learning",,"December 21, 2021 5:58 PM",Finished,⭐️⭐️⭐️⭐️⭐️,http://www.r2d3.us/visual-intro-to-machine-learning-part-2/,,,,,0,No,No,
,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),,,Data Science,,"December 21, 2021 5:58 PM",,,https://www.youtube.com/watch?v=QWgg4w1SpJ8,,,,,0,No,No,
Article,A Gentle Introduction to Exploratory Data Analysis | by Daniel Bourke | Towards Data Science,,,"Data Science, Exploratory Data Analysis, Machine Learning",Daniel Bourke,"December 21, 2021 5:58 PM",Finished,⭐️⭐️⭐️⭐️⭐️,https://towardsdatascience.com/a-gentle-introduction-to-exploratory-data-analysis-f11d843b8184,,30,"September 11, 2020","September 11, 2020",0.5,No,No,
Article,💯 The Big List of Data Science Interview Resources,,,Interviews,,"December 21, 2021 5:58 PM",,,https://www.conordewey.com/blog/the-big-list-of-data-science-interview-resources/,,,,,0,No,No,
Article,"5 Online Courses I Took as a Self-Taught Data Scientist | by Christopher Zita | Apr, 2021 | Better Programming",,,"Data Analysis, Data Science, Data Visualization, Exploratory Data Analysis, Machine Learning, Pandas, Python, R Programmaing Language, SQL, Tableau, Udemy",Christopher Zita,"December 21, 2021 5:58 PM",,,https://betterprogramming.pub/5-online-courses-i-took-as-a-self-taught-data-scientist-36e0dc36f386,,,,,0,No,No,
Video,"Data Scientist: Reality vs Expectations 2 ($110,000 Median Salary) - YouTube",,,"Data Science, Interviews",,"December 21, 2021 5:58 PM",Finished,⭐️⭐️⭐️⭐️,https://www.youtube.com/watch?v=0X2H-ZD_Chw,,,,,0,No,No,
Article,Creating a Portfolio Tracker in Notion with Python - Coding and Fun,,,"DS Projects, Python",,"December 21, 2021 5:58 PM",,,https://codingandfun.com/creating-a-portfolio-tracker-in-notion-with-python/,,,,,0,No,No,
Article,17 Best Data Science Newsletters Essential for Newbies and Experts,,,Data Science,,"December 21, 2021 5:58 PM",,,https://datacrunchcorp.com/data-science-newsletters/,,,,,0,No,No,
Course,Andrew Ng Machine Learning,,,"Data Science, Machine Learning",Andrew Ng,"December 21, 2021 5:58 PM",Started,,https://www.coursera.org/learn/machine-learning,coursera.org,,,,0,No,No,
Video,2020 Machine Learning Roadmap,,,"Data Science, Machine Learning",,"December 21, 2021 5:58 PM",Started,,https://www.youtube.com/watch?v=pHiMN_gy9mk,,157.2,,,2.62,No,No,
Article,How to read data using pandas read_csv | Honing Data Science,,,Coding,,"December 21, 2021 5:58 PM",Not Started,,https://honingds.com/blog/pandas-read_csv/,,,,,0,No,No,
Article,Data project checklist · fast.ai,,,Data Science,,"December 21, 2021 5:58 PM",Started,,https://www.fast.ai/2020/01/07/data-questionnaire/,,,,,0,No,No,
,Ensemble Methods in Machine Learning: What are They and Why Use Them? | by Evan Lutins | Towards Data Science,,,Machine Learning,,"December 21, 2021 5:58 PM",,,https://towardsdatascience.com/ensemble-methods-in-machine-learning-what-are-they-and-why-use-them-68ec3f9fef5f,,,,,0,No,No,
,Data science resume mistakes,,,Data Science,,"December 21, 2021 5:58 PM",,,https://towardsdatascience.com/data-science-resume-mistakes-to-avoid-2867460659ac,,,,,0,No,No,
Video,Mastering Python - Everything You Need To Know To Become a Python Master,,,Python,Tech with Tim,"December 21, 2021 5:58 PM",Finished,⭐️⭐️⭐️⭐️⭐️,https://www.youtube.com/watch?v=p15xzjzR9j0,,16,"September 16, 2020","September 16, 2020",0.266666666667,No,No,
Article,Random Forest in Python. A Practical End-to-End Machine Learning… | by Will Koehrsen | Towards Data Science,,,"Data Science, Pandas, Python",,"December 21, 2021 5:58 PM",Not Started,,https://towardsdatascience.com/random-forest-in-python-24d0893d51c0,towardsdatascience.com,,,,0,No,Yes,
Article,What Is Regularization In Machine Learning?,,,"Data Science, Machine Learning, Python, Regularization",,"December 21, 2021 5:58 PM",Not Started,,https://afteracademy.com/blog/what-is-regularization-in-machine-learning,,,,,0,No,No,
,Data Analysis with Python Course - Introduction to Data Analysis | Learn | freeCodeCamp.org,,,,,"December 21, 2021 5:58 PM",,,https://www.freecodecamp.org/learn/data-analysis-with-python/data-analysis-with-python-course/introduction-to-data-analysis,,,,,0,No,No,
Course,01 - Introduction - Data Analysis with Python,,,"Data Analysis, Data Science, Python",,"December 21, 2021 5:58 PM",Finished,,https://www.youtube.com/watch?time_continue=1&v=VJrP2FUzKP0&feature=emb_logo,,10,"August 6, 2020","August 6, 2020",0.166666666667,No,No,
Video,Python Machine Learning & AI Mega Course - Learn 4 Different Areas of ML & AI,,,"AI, Data Science, Machine Learning, Python",Tech with Tim,"December 21, 2021 5:58 PM",,,https://www.youtube.com/watch?v=WFr2WgN9_xE,,,,,0,No,No,
Video,His Startup Will Land You a Data Science Job | Interview with Jeremie Harris,,,"Data Science, Interviews",Ken Jee,"December 21, 2021 5:58 PM",Finished,⭐️⭐️⭐️⭐️⭐️,https://www.youtube.com/watch?v=7VcdvSyoxnc,,61.75,"September 23, 2020","September 23, 2020",1.029166666667,No,No,
,Python Resume Projects - You Can Finish in a Weekend,,,,,"December 21, 2021 5:58 PM",,,https://www.youtube.com/watch?v=jl5yUEdekEM,,,,,0,No,No,
,Data Science Project from Scratch - Part 3 (Data Cleaning),,,,,"December 21, 2021 5:58 PM",,,https://www.youtube.com/watch?v=fhi4dOhmW-g,,,,,0,No,No,
,Ensemble learning - Wikipedia,,,,,"December 21, 2021 5:58 PM",,,https://en.wikipedia.org/wiki/Ensemble_learning,,,,,0,No,No,
,The Ultimate Deliberate Practice Guide: How to Be the Best (38 mins),,,,,"December 21, 2021 5:58 PM",,,https://fs.blog/2021/04/deliberate-practice-guide/,,,,,0,No,No,
Article,A visual introduction to machine learning,,,"Data Science, Machine Learning",,"December 21, 2021 5:58 PM",Finished,⭐️⭐️⭐️⭐️⭐️,http://www.r2d3.us/visual-intro-to-machine-learning-part-1/,,,,,0,No,No,
