Type,Name,Language/Software,Packages,Tags,Author,Created,Status,Score/5,URL,Source,Minutes,Finish Date,Start Date,Hours,Notes?,Linked Up?,Related to Coding Course Notes (Property)
Video,Data Science Projects for Beginners (Kaggle),,,Data Science,Ken Jee,"December 21, 2021 5:58 PM",Finished,⭐️⭐️⭐️⭐️⭐️,https://www.youtube.com/watch?v=8igH8qZafpo,YouTube,7.5,"September 16, 2020","September 16, 2020",0.125,Yes,No,
Video,,,,Data Science,,"December 21, 2021 5:58 PM",,,https://www.youtube.com/watch?v=yukdXV9LR48&feature=share,,,,,0,No,No,
Tweet,Fear,,,,,"December 21, 2021 5:58 PM",Finished,,https://twitter.com/tirzahmj/status/1220580181724655616?s=12,,1,"August 3, 2020","August 3, 2020",0.016666666667,No,No,
Course,04 - How to use Jupyter Notebooks Intro,,,"Data Analysis, Data Science, Python",,"December 21, 2021 5:58 PM",Finished,,https://www.youtube.com/watch?v=h8caJq2Bb9w&feature=share,,8.75,"August 8, 2020","August 8, 2020",0.145833333333,No,No,
Course,03 - Data Analysis Example B - Data Analysis with Python,,,"Data Analysis, Data Science, Python",,"December 21, 2021 5:58 PM",Finished,,https://www.youtube.com/watch?v=0kJz0q0pvgQ&feature=emb_logo,,10.33,"August 6, 2020","August 6, 2020",0.172166666667,No,No,
Course,Data Analysis with Python Course | freeCodeCamp.org,,,"Data Analysis, Data Science",,"December 21, 2021 5:58 PM",,,https://www.freecodecamp.org/learn/data-analysis-with-python/data-analysis-with-python-course/,freecodecamp.org,,,,0,No,No,
Video,Building A Second Brain - Deep Dive with Tiago Forte,,,Productivity,,"December 21, 2021 5:58 PM",Finished,,https://www.youtube.com/watch?v=--x10rQ4FvI,,106.3,"September 26, 2020","September 26, 2020",1.771666666667,No,No,
Video,The 7 Steps of Machine Learning (AI Adventures) - YouTube,,,"Data Science, Machine Learning",Google Cloud Platform,"December 21, 2021 5:58 PM",Finished,⭐️⭐️⭐️⭐️⭐️,https://www.youtube.com/watch?v=nKW8Ndu7Mjw&t=48s,YouTube,,,,0,No,No,
,Free certifications for developers.,,,,,"December 21, 2021 5:58 PM",,,https://denic.hashnode.dev/free-certifications-for-developers,,,,,0,No,No,
Video,9 Passive Income Ideas - How I Make $27k per Week (30 mins),,,,,"December 21, 2021 5:58 PM",Finished,,https://www.youtube.com/watch?v=M5y69v1RbU0,YouTube,30,"April 17, 2021","April 17, 2021",0.5,No,No,
Video,10 tips for learning PYTHON fast! Master Python in 2020!,,,Python,Python Programmer,"December 21, 2021 5:58 PM",Finished,,https://www.youtube.com/watch?v=xsEXpzsLsc0,,10.5,"September 16, 2020","September 16, 2020",0.175,Yes,No,
Article,How to launch your data science career,,,Data Science,,"December 21, 2021 5:58 PM",Started,,https://www.dataschool.io/talkpython/,,,,,0,No,No,
Course,"Python for Data Science - Course for Beginners (Learn Python, Pandas, NumPy, Matplotlib)",,,"Data Science, Python",freecodecamp.org,"December 21, 2021 5:58 PM",Started,,https://www.youtube.com/watch?v=LHBE6Q9XlzI,,739.9,,,12.331666666667,No,No,
Article,11 Classical Time Series Forecasting Methods in Python (Cheat Sheet),,,"Data Science, Machine Learning, Python, Time Series Analysis",,"December 21, 2021 5:58 PM",Not Started,,https://machinelearningmastery.com/time-series-forecasting-methods-in-python-cheat-sheet/,,,,,0,No,No,
,REGULARIZATION: An important concept in Machine Learning | by Megha Mishra | Towards Data Science,,,,,"December 21, 2021 5:58 PM",,,https://towardsdatascience.com/regularization-an-important-concept-in-machine-learning-5891628907ea,,,,,0,No,No,
Article,Building a Second Brain: An Overview | Praxis,,,"Organisation, Productivity",,"December 21, 2021 5:58 PM",Not Started,,https://praxis.fortelabs.co/basboverview/,,,,,0,No,No,
Article,AI/ML Essential Skills,,,"Data Science, Machine Learning",,"December 21, 2021 5:58 PM",Not Started,,https://www.pluralsight.com/blog/software-development/essential-skills-ml-ai-devs-aws,PluralSight,,,,0,No,No,
,Regularization in Machine Learning | by Prashant Gupta | Towards Data Science,,,,,"December 21, 2021 5:58 PM",,,https://towardsdatascience.com/regularization-in-machine-learning-76441ddcf99a,,,,,0,No,No,
Video,Video series: Easier data analysis in Python using the pandas library,,,"Coding, Pandas, Python",,"December 21, 2021 5:58 PM",Started,,https://www.dataschool.io/easier-data-analysis-with-pandas/,,,,,0,No,No,
,TMDB 5000 Movie Dataset | Kaggle,,,Datasets,,"December 21, 2021 5:58 PM",,,https://www.kaggle.com/tmdb/tmdb-movie-metadata,,,,,0,No,No,
,Choosing the right estimator — scikit-learn 0.23.2 documentation,,,,,"December 21, 2021 5:58 PM",,,https://scikit-learn.org/stable/tutorial/machine_learning_map/index.html,,,,,0,No,No,
,Python for Data Science Essentials - LinkedIn Learning,,,,,"December 21, 2021 5:58 PM",,,https://www.linkedin.com/learning/python-for-data-science-essential-training-part-1/introduction-to-the-data-professions?u=2045532,,,,,0,No,No,
Article,Advice on Transitioning Into a Tech Career | LEARN WITH ARI,,,,,"December 21, 2021 5:58 PM",,,https://learnwithari.com/advice-on-transitioning-into-a-tech-career/,,,,,0,No,No,
Video,Python Object Oriented Programming (OOP) - For Beginners,,,"Object Oriented Programming, Python",Tech with Tim,"December 21, 2021 5:58 PM",Started,,https://www.youtube.com/watch?v=JeznW_7DlB0,,53.1,,"September 18, 2020",0.885,No,No,
Podcast,‎The GaryVee Audio Experience: Why NFT projects before 2021 are important | J1mmyeth Interview on Apple Podcasts,,,,,"December 21, 2021 5:58 PM",Finished,⭐️⭐️⭐️⭐️⭐️,https://podcasts.apple.com/us/podcast/the-garyvee-audio-experience/id928159684?i=1000531310530,,57,"August 20, 2021","August 20, 2021",0.95,No,No,
,Choosing the right estimator — scikit-learn 0.23.2 documentation,,,,,"December 21, 2021 5:58 PM",,,https://scikit-learn.org/stable/tutorial/machine_learning_map/index.html,,,,,0,No,No,
,(59) How To Learn Programming for Data Science [3 Steps] - YouTube,,,,,"December 21, 2021 5:58 PM",,,https://www.youtube.com/watch?v=VN12ZPFsApM,,,,,0,No,No,
,IBM AI Learning - Skills Gateway - Global,,,,,"December 21, 2021 5:58 PM",,,https://www.ibm.com/training/ailearning/,,,,,0,No,No,
Course,02 - Data Analysis Example A - Data Analysis with Python,,,"Data Analysis, Data Science, Python",,"December 21, 2021 5:58 PM",Finished,,https://www.youtube.com/watch?time_continue=7&v=nVAaxZ34khk&feature=emb_logo,,9.33,"August 6, 2020","August 6, 2020",0.1555,No,No,
Video,(19) Beginner Kaggle Data Science Project Walk-Through (Titanic) - YouTube,,,,,"December 21, 2021 5:58 PM",,,https://www.youtube.com/watch?v=I3FBJdiExcg,,,,,0,No,No,
Article,DS projects,,,Data Science,,"December 21, 2021 5:58 PM",Not Started,,https://towardsdatascience.com/the-projects-you-should-do-to-get-a-data-science-job-457d3fe7d660,,,,,0,No,No,
Course,Data Analysis with Pandas and Python | Udemy,,,"Data Science, Pandas, Python",,"December 21, 2021 5:58 PM",Started,,https://www.udemy.com/course/data-analysis-with-pandas/learn/lecture/5579042#overview,Udemy,,,,0,No,No,
Podcast,Getting into Data Science,,,Data Science,,"December 21, 2021 5:58 PM",Not Started,,https://www.breaker.audio/data-crunch/e/43566784,,,,,0,No,No,
,Standardize Normalize Scale,,,,,"December 21, 2021 5:58 PM",,,https://towardsai.net/p/data-science/how-when-and-why-should-you-normalize-standardize-rescale-your-data-3f083def38ff,,,,,0,No,No,
,Candidate Application - DS4A Empowerment,,,,,"December 21, 2021 5:58 PM",,,https://correlation-one.typeform.com/to/h5Ku8qs9,,,,,0,No,No,
Video,Buying vs Leasing a Car 101: How to pick the BEST choice (11.5 mins),,,,,"December 21, 2021 5:58 PM",Finished,,https://www.youtube.com/watch?v=CR3zm9MYxhE,YouTube,11.5,"April 17, 2021","April 17, 2021",0.191666666667,No,No,
Video,(66) Learn Data Science Tutorial - Full Course for Beginners - YouTube,,,Data Science,,"December 21, 2021 5:58 PM",,,https://www.youtube.com/watch?v=ua-CiDNNj30&t=8s,,352.1,,"September 4, 2020",5.868333333333,No,No,
Podcast,The Data Scientist's Journey with Nic Ryan,,,,,"December 21, 2021 5:58 PM",,,https://www.breaker.audio/data-crunch/e/41707514,,,,,0,No,No,
,How I ”invented” machine learning in my data science side project | by Ville Kuosmanen | Towards Data Science,,,,,"December 21, 2021 5:58 PM",,,https://towardsdatascience.com/how-i-invented-machine-learning-in-my-data-science-side-project-ea17cafc61a5,,,,,0,No,No,
,Ditch Linktree and Own Your Data - How To Guide to Making Links Page – Capital SB,,,,,"December 21, 2021 5:58 PM",,,https://capitalsb.com/blogs/blog/ditch-linktree-and-own-your-data-how-to-guide-to-making-links-page,,,,,0,No,No,
,Training Specials | Consulting | Insight,,,,,"December 21, 2021 5:58 PM",,,https://www.atransformation.tech/training-specials,,,,,0,No,No,
,Python for Data Science - Credly,,,Python,,"December 21, 2021 5:58 PM",,,https://www.credly.com/org/ibm/badge/python-for-data-science,,,,,0,No,No,
Video,Data Science Project from Scratch - Part 2 (Data Collection),,,"DS Projects, Data Science",Ken Jee,"December 21, 2021 5:58 PM",Finished,⭐️⭐️⭐️⭐️⭐️,https://www.youtube.com/watch?v=GmW4F6MHqqs,,28,"September 23, 2020","September 23, 2020",0.466666666667,No,No,
Video,(50) The Second Brain - A Life-Changing Productivity System - YouTube,,,Productivity,,"December 21, 2021 5:58 PM",Finished,,https://www.youtube.com/watch?v=OP3dA2GcAh8,,15.51,"September 25, 2020","September 25, 2020",0.2585,No,No,
Video,Data Science Project from Scratch - Part 1 (Project Planning),,,"DS Projects, Data Science",Ken Jee,"December 21, 2021 5:58 PM",Finished,⭐️⭐️⭐️⭐️⭐️,https://www.youtube.com/watch?v=MpF9HENQjDo,,7.5,"September 23, 2020","September 23, 2020",0.125,No,No,
Book,Data Newbie to Guru: The Visual Guide to Learning SQL in a Week,,,"Data Science, SQL",Dr. Chantel Perry,"December 21, 2021 5:58 PM",Started,,,,,,"July 31, 2020",0,No,No,
Podcast,Build Your Brand in Data Science,,,Data Science,,"December 21, 2021 5:58 PM",,,https://podcasts.apple.com/us/podcast/50-ken-jee-building-your-brand-in-data-science/id1470952338?i=1000490620399,,56,,"September 23, 2020",0.933333333333,No,No,
